,Line Name,dgfp_dt,p1,p2,p3,p4,p5
259,SP179-r2,209.13703165959924,4.0,12.0,17.0,22.0,25.0
260,SP179-r3,191.97021063318644,4.0,12.0,17.0,22.0,25.0
261,SP180-r1,213.0699999664559,1.0,12.0,18.0,22.0,26.0
262,SP180-r2,209.02500690758185,1.0,12.0,18.0,22.0,26.0
263,SP180-r3,194.89448586608484,1.0,12.0,18.0,22.0,26.0
264,SP182-r1,155.00294096857323,4.0,11.0,13.0,21.0,27.0
265,SP182-r2,168.0560730966163,4.0,11.0,13.0,21.0,27.0
266,SP182-r3,152.72662770510698,4.0,11.0,13.0,21.0,27.0
267,SP183-r1,101.00702916084494,5.0,9.0,15.0,24.0,25.0
268,SP183-r2,104.24320456650777,5.0,9.0,15.0,24.0,25.0
269,SP183-r3,108.91131905376828,5.0,9.0,15.0,24.0,25.0
270,SP191-r1,231.82333942480807,6.0,11.0,16.0,20.0,29.0
271,SP191-r2,220.46548544795922,6.0,11.0,16.0,20.0,29.0
272,SP191-r3,216.91520085013326,6.0,11.0,16.0,20.0,29.0
273,SP193-r1,222.60571570859685,5.0,7.0,17.0,22.0,30.0
274,SP193-r2,212.01055950609765,5.0,7.0,17.0,22.0,30.0
275,SP193-r3,229.26169244031408,5.0,7.0,17.0,22.0,30.0
276,SP194-r1,135.26358699291075,4.0,9.0,15.0,19.0,27.0
277,SP194-r2,141.37289547919926,4.0,9.0,15.0,19.0,27.0
278,SP194-r3,125.30821564225221,4.0,9.0,15.0,19.0,27.0
279,SP195-r1,176.47487810723638,1.0,8.0,15.0,21.0,27.0
280,SP195-r2,166.77434191247139,1.0,8.0,15.0,21.0,27.0
281,SP195-r3,184.65384951277764,1.0,8.0,15.0,21.0,27.0
282,SP196-r1,159.58580822528188,3.0,8.0,15.0,22.0,25.0
283,SP196-r2,174.154655384937,3.0,8.0,15.0,22.0,25.0
284,SP196-r3,167.78679131891423,3.0,8.0,15.0,22.0,25.0
285,SP198-r1,155.58590390830383,1.0,11.0,15.0,20.0,29.0
286,SP198-r2,170.57389713889802,1.0,11.0,15.0,20.0,29.0
287,SP198-r3,144.5801199886951,1.0,11.0,15.0,20.0,29.0
288,SP203-r1,88.07532410447654,6.0,9.0,15.0,19.0,29.0
289,SP203-r2,94.84505615989231,6.0,9.0,15.0,19.0,29.0
290,SP203-r3,92.69979283303975,6.0,9.0,15.0,19.0,29.0
291,SP204-r1,196.0322445484728,3.0,10.0,13.0,23.0,30.0
292,SP204-r2,192.2437612861422,3.0,10.0,13.0,23.0,30.0
293,SP204-r3,193.91937429117039,3.0,10.0,13.0,23.0,30.0
294,SP205-r1,183.642357049381,5.0,12.0,13.0,24.0,26.0
295,SP205-r2,161.69788897329644,5.0,12.0,13.0,24.0,26.0
296,SP205-r3,192.99693439662647,5.0,12.0,13.0,24.0,26.0
297,SP207-r1,127.20605162604772,3.0,7.0,15.0,24.0,25.0
298,SP207-r2,137.6986817563005,3.0,7.0,15.0,24.0,25.0
299,SP207-r3,112.07649013638598,3.0,7.0,15.0,24.0,25.0
300,SP208-r1,219.6434409704577,4.0,8.0,17.0,19.0,25.0
301,SP208-r2,212.07139143311795,4.0,8.0,17.0,19.0,25.0
302,SP208-r3,201.75695951558862,4.0,8.0,17.0,19.0,25.0
303,SP209-r1,193.37366144159708,6.0,11.0,16.0,20.0,25.0
304,SP209-r2,193.72688753636675,6.0,11.0,16.0,20.0,25.0
305,SP209-r3,175.66115019710267,6.0,11.0,16.0,20.0,25.0
306,SP210-r1,180.48162096979294,2.0,9.0,17.0,21.0,25.0
307,SP210-r2,177.33712952535936,2.0,9.0,17.0,21.0,25.0
308,SP210-r3,174.0559233539467,2.0,9.0,17.0,21.0,25.0
309,SP211-r1,189.98503487313985,2.0,8.0,17.0,24.0,26.0
310,SP211-r2,174.4903056792647,2.0,8.0,17.0,24.0,26.0
311,SP211-r3,180.70713234502682,2.0,8.0,17.0,24.0,26.0
312,SP212-r1,186.5582250334512,1.0,8.0,16.0,20.0,28.0
313,SP212-r2,194.58927551565074,1.0,8.0,16.0,20.0,28.0
314,SP212-r3,203.05427916915536,1.0,8.0,16.0,20.0,28.0
315,SP214-r1,64.88269026027685,1.0,8.0,13.0,20.0,29.0
316,SP214-r2,68.67531406574862,1.0,8.0,13.0,20.0,29.0
317,SP214-r3,64.85424456685799,1.0,8.0,13.0,20.0,29.0
318,SP215-r1,92.23211816785154,1.0,9.0,15.0,22.0,29.0
319,SP215-r2,98.36098162495341,1.0,9.0,15.0,22.0,29.0
320,SP215-r3,97.85554285823616,1.0,9.0,15.0,22.0,29.0
321,SP216-r1,183.48568082654438,4.0,10.0,13.0,19.0,29.0
322,SP216-r2,170.67892025744067,4.0,10.0,13.0,19.0,29.0
323,SP216-r3,170.64673307844353,4.0,10.0,13.0,19.0,29.0
324,SP218-r2,84.34090522820308,1.0,12.0,13.0,22.0,27.0
325,SP219-r1,119.62157144374845,1.0,10.0,13.0,21.0,27.0
326,SP219-r2,123.46822611577144,1.0,10.0,13.0,21.0,27.0
327,SP219-r3,129.04693698092552,1.0,10.0,13.0,21.0,27.0
328,SP220-r1,83.99361951654333,3.0,9.0,15.0,19.0,25.0
329,SP220-r2,140.2621623039254,3.0,9.0,15.0,19.0,25.0
330,SP220-r3,111.09944868635208,3.0,9.0,15.0,19.0,25.0
331,SP221-r1,123.49046664552057,6.0,7.0,15.0,22.0,30.0
332,SP221-r2,122.26897363841462,6.0,7.0,15.0,22.0,30.0
333,SP221-r3,99.83686284714801,6.0,7.0,15.0,22.0,30.0
334,SP222-r1,215.7068211439672,2.0,8.0,16.0,19.0,26.0
335,SP222-r2,207.55932909596692,2.0,8.0,16.0,19.0,26.0
336,SP222-r3,239.55158063642327,2.0,8.0,16.0,19.0,26.0
337,SP224-r1,79.99066449982473,6.0,12.0,13.0,20.0,28.0
338,SP224-r2,117.7225147397273,6.0,12.0,13.0,20.0,28.0
339,SP224-r3,174.08550246041102,6.0,12.0,13.0,20.0,28.0
340,SP226-r1,127.82463717791462,4.0,11.0,13.0,22.0,25.0
341,SP226-r2,132.19796157473925,4.0,11.0,13.0,22.0,25.0
342,SP226-r3,125.60177818895102,4.0,11.0,13.0,22.0,25.0
343,SP229-r1,117.72482839891872,6.0,11.0,15.0,19.0,25.0
344,SP229-r2,119.74765675312854,6.0,11.0,15.0,19.0,25.0
345,SP229-r3,120.41186722173406,6.0,11.0,15.0,19.0,25.0
346,SP230-r1,129.77134067587693,4.0,10.0,15.0,23.0,27.0
347,SP230-r2,129.62337215095204,4.0,10.0,15.0,23.0,27.0
348,SP230-r3,114.48322848016758,4.0,10.0,15.0,23.0,27.0
349,SP231-r1,154.12165452796228,6.0,9.0,16.0,21.0,25.0
350,SP231-r2,146.8109150666795,6.0,9.0,16.0,21.0,25.0
351,SP231-r3,142.51718055511256,6.0,9.0,16.0,21.0,25.0
352,SP233-r1,130.28609623986753,6.0,12.0,15.0,21.0,27.0
353,SP233-r2,164.32430572267424,6.0,12.0,15.0,21.0,27.0
354,SP233-r3,147.5552303599617,6.0,12.0,15.0,21.0,27.0
355,SP234-r1,167.62609991008722,1.0,9.0,16.0,22.0,29.0
356,SP234-r2,165.16977437563258,1.0,9.0,16.0,22.0,29.0
357,SP234-r3,165.7313247023402,1.0,9.0,16.0,22.0,29.0
358,SP237-r1,111.52192072693768,1.0,11.0,15.0,20.0,25.0
359,SP237-r2,136.52731768447177,1.0,11.0,15.0,20.0,25.0
360,SP237-r3,122.65385706947866,1.0,11.0,15.0,20.0,25.0
361,SP238-r1,150.32587634674877,4.0,10.0,16.0,24.0,30.0
362,SP238-r2,149.67688399691187,4.0,10.0,16.0,24.0,30.0
363,SP238-r3,151.5273677809991,4.0,10.0,16.0,24.0,30.0
364,SP239-r1,184.4381944806921,5.0,9.0,13.0,24.0,29.0
365,SP239-r2,182.5970710154193,5.0,9.0,13.0,24.0,29.0
366,SP239-r3,186.82894198255602,5.0,9.0,13.0,24.0,29.0
367,SP244-r1,202.91710513913407,3.0,11.0,16.0,20.0,30.0
368,SP244-r2,193.16457968878242,3.0,11.0,16.0,20.0,30.0
